city,year,price_per_sqft,monthly_rental_price,forecast_YoY_pct_change,latitude,longitude,population_density,violent_crimes,violent_crime_rate,property_crime,property_crime_rate,population,population_increase,population_increase_pct,total_homes,occupied_homes,unoccupied_homes,housing_increase_units,housing_increase_pct,single_detached,single_attached,two_to_four_units,five_plus_units,mobile_homes,vacancy_rate_pct,persons_per_household,ndxt_yr_open_price
Antioch,2010,109,0,0,38.0049,-121.8058,0,0,0,0,0,101708,0,,34849,32252,2597,0,,26884,1707,1474,4382,402,0.074521507,3.154,1152.61
Antioch,2011,102,1645,0,38.0049,-121.8058,0,0,0,0,0,103204,1496,0.014708774,34948,32686,2262,99,0.002840828,26975,1707,1474,4390,402,0.064724734,3.157,1397.08
Antioch,2012,106,1639,0,38.0049,-121.8058,0,0,0,0,0,105287,2083,0.020183326,35041,33212,1829,93,0.002661096,27077,1707,1471,4384,402,0.052195999,3.17,1330
Antioch,2013,144,1682,0,38.0049,-121.8058,0,0,0,0,0,106880,1593,0.015130073,35278,33437,1841,237,0.006763506,27314,1707,1471,4384,402,0.052185498,3.196,1427.91
Antioch,2014,165,1795,0,38.0049,-121.8058,0,0,0,0,0,108611,1731,0.016195734,35482,33734,1748,204,0.005782641,27518,1707,1471,4384,402,0.049264416,3.22,1897.309
Antioch,2015,179,1881,0,38.0049,-121.8058,0,0,0,0,0,110034,1423,0.013101804,35750,33988,1762,268,0.007553126,27786,1707,1471,4384,402,0.049286713,3.237,2379.034
Antioch,2016,199,1925,0,38.0049,-121.8058,0,0,0,0,0,111513,1479,0.0134413,35822,34272,1550,72,0.002013986,27858,1707,1471,4384,402,0.043269499,3.254,2261.126
Antioch,2017,223,2046,0,38.0049,-121.8058,0,0,0,0,0,111616,103,0.000923659,35860,34019,1841,38,0.001060801,27896,1707,1471,4384,402,0.051338539,3.281,2890.724
Antioch,2018,248,2160,12.71635611,38.0049,-121.8058,3820.1,849,7.84,4190,38.72,112397,781,0.006997205,35882,34041,1841,22,0.000613497,27918,1707,1471,4384,402,0.051307062,3.302,3943.097
Berkeley,2010,439,0,0,37.8716,-122.2727,0,0,0,0,0,99731,0,,49454,46029,3425,0,,20924,2060,9980,16272,218,0.069256279,2.167,1152.61
Berkeley,2011,399,0,0,37.8716,-122.2727,0,0,0,0,0,100795,1064,0.010668699,49794,46419,3375,340,0.006875076,20926,2060,9993,16597,218,0.067779251,2.171,1397.08
Berkeley,2012,404,0,0,37.8716,-122.2727,0,0,0,0,0,101630,835,0.008284141,49774,46494,3280,-20,-0.000401655,20929,2060,9993,16574,218,0.065897858,2.186,1330
