RegionName,State,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018
New York,NY,2-Bedroom,0,2764,2910,3111,3055,2621,2554,2589,2606
Los Angeles,CA,2-Bedroom,2193,2069,1959,2009,2185,2481,2627,2702,2817
Chicago,IL,2-Bedroom,1562,1697,1685,1812,1807,1785,1839,1721,1717
Houston,TX,2-Bedroom,0,0,0,0,1406,1489,1629,1539,1594
Philadelphia,PA,2-Bedroom,1677,1331,1358,1301,1326,1331,1388,1491,1569
Phoenix,AZ,2-Bedroom,808,786,776,791,788,847,948,1027,1103
Las Vegas,NV,2-Bedroom,961,868,804,812,849,900,944,1006,1047
San Antonio,TX,2-Bedroom,0,834,887,916,977,970,1019,1043,1110
San Diego,CA,2-Bedroom,2115,1844,1726,1758,1962,2116,2225,2235,2362
Dallas,TX,2-Bedroom,0,1198,1268,1457,1569,1543,1634,1688,1798
San Jose,CA,2-Bedroom,0,0,0,2019,2398,2795,2979,2835,2859
Jacksonville,FL,2-Bedroom,815,832,853,964,1084,1086,977,1009,1083
San Francisco,CA,2-Bedroom,3288,3126,3607,4027,4280,4658,4769,4482,4451
Indianapolis,IN,2-Bedroom,0,661,687,672,685,682,756,811,821
Austin,TX,2-Bedroom,986,1028,1121,1106,1265,1313,1394,1372,1420
Fort Worth,TX,2-Bedroom,0,790,830,858,921,1011,1117,1221,1335
Detroit,MI,2-Bedroom,0,0,617,590,595,638,654,678,703
Columbus,OH,2-Bedroom,0,0,0,0,819,885,915,934,981
Memphis,TN,2-Bedroom,0,786,730,731,661,658,704,736,722
Charlotte,NC,2-Bedroom,866,827,883,942,980,1104,1230,1328,1394
El Paso,TX,2-Bedroom,0,0,795,772,776,786,779,757,743
Boston,MA,2-Bedroom,2600,2226,2314,2485,2440,2475,2443,2404,2442
Seattle,WA,2-Bedroom,0,0,0,0,0,0,0,2407,2532
Baltimore,MD,2-Bedroom,0,0,0,0,0,1354,1334,1314,1484
Denver,CO,2-Bedroom,1200,1282,1304,1378,1576,1840,1883,1857,2013
Washington,DC,2-Bedroom,2544,2715,3043,3025,2862,2946,2953,2900,3038
Nashville,TN,2-Bedroom,1203,951,910,927,1109,1226,1384,1506,1634
Milwaukee,WI,2-Bedroom,0,739,823,882,852,918,908,857,885
Tucson,AZ,2-Bedroom,0,683,662,660,665,675,707,739,790
