RegionName,State,Metro,CountyName,Type,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
New York,NY,New York,Queens,3-Bedroom,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850,2875,2800,2800,2700,2750,2800,2795,2800,2800,2850,2899,2900,2900,2850,2800,2800,2800,2800,2850,2950,2995,3000,2995,3000,3000,3194,3000,2800,2800,2700,2700,2795,2850,2899,2899,2900,2800,2709,2684,2649,2600,2600,2600,2700,2800,2800,2827
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3-Bedroom,2,2374.5,2400,2448.5,2500,2500,2592.5,2850,2550,2750,2800,2750,2750,2850,2600,2800,2800,2800,2750,2700,2637.5,2600,2595,2500,2595,2600,2668,2585,2650,2650,2500,2592.5,2600,2400,2300,2300,2400,2400,2400,2400,2450,2425,2500,2450,2650,2600,2500,2750,2595,2500,2550,2650,2700,2775,2992.5,3000,3000,2961.5,3000,2990,2999,2950,2997,3250,3295,3300,3395,3450,3500,3450,3308.5,3444,3595,3500,3500,3450,3500,3450,3495,3377.5,3595,3250,3500,3450,3495,3550,3600,3682.5,3655,3695,3695,3675,3600,3600,3595,3595,3500,3500,3550,3600,3695,3795,3750
Chicago,IL,Chicago,Cook,3-Bedroom,3,,,,,,,,,1951,1995,1875,1675,1700,1799,1880,1900,1800,1825,1850,1800,1700,1600,1575,1600,1650,1700,1650,1650,1700,1700,1700,1650,1650,1600,1643,1600,1650,1750,1650,1800,1800,1925,1800,1733,1700,1700,1750,1650,1700,1750,1825,2000,2100,2100,1957,1995,1900,1800,1700,1700,1800,1800,1900,2000,2024,2000,1950,1977.5,1950,2000,1850,1800,1900,1850,1900,2000,2100,2000,1975,1925,1795,1750,1700,1700,1731,1850,2000,2145,2100,2100,2000,1950,1899,1800,1800,1850,1898,1995,2100,2175,2200,2150
Houston,TX,Houston,Harris,3-Bedroom,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1267,1275,1315,1329,1400,1317.5,1445,1400,1500,1450,1500,1430,1495,1400,1375,1447,1595,1600,1600,1600,1600,1600,1595,1600,1650,1650,1750,1800,1786,1800,1795,1750,1750,1695,1795,1800,1795,1796.5,1800,1800,1795,1800,1700,1695,1702,1625,1639,1600,1654.5,1695,1700,1750,1750,1753,1750,1750,1750,1700,1700,1699,1675,1650,1695,1700,1750,1750,1750
Philadelphia,PA,Philadelphia,Philadelphia,3-Bedroom,5,,,,,,,,,,,,,,,,,,1300,1300,1200,1100,1150,1137.5,1100,1275,1337.5,1350,1300,1300,1275,1200,1100,1050,1100,1000,1100,1150,1200,1350,1400,1397.5,1330,1200,1200,1195,1200,1195,1200,1200,1200,1299.5,1485,1450,1450,1395,1300,1250,1250,1275,1300,1350,1425,1500,1500,1500,1500,1450,1400,1395,1350,1250,1300,1350,1475,1500,1500,1500,1375,1300,1300,1200,1250,1200,1200,1295,1400,1495,1500,1500,1495,1400,1300,1300,1350,1350,1350,1350,1450,1500,1550,1500,1450
Phoenix,AZ,Phoenix,Maricopa,3-Bedroom,6,,,,,,,,995,972.5,995,995,995,995,916,950,950,975,992.5,1050,1050,999,995,995,975,993.5,1000,1009,1000,1025,1010,999,1000,1005,1025.5,1020,1020,1030,1025,1015,1017,1021,1026,1017,1000,999,1000,1000,995,995,1000,1050,1075,1050,1050,1099.5,1095,1075,1050,1080,1050,1099,1100,1100,1139,1100,1119.5,1119.5,1100,1115,1140,1177.5,1157,1095,1099.5,1192,1140,1128,1118,1150,1180,1112,1100,1100,1168,1200,1250,1258,1325,1300,1295,1260,1232,1200,1200,1200,1250,1290,1300,1319.5,1338,1367.5,1370
Las Vegas,NV,Las Vegas,Clark,3-Bedroom,7,1197.5,1187.5,1200,1212.5,1200,1200,1197.5,1200,1195,1176.5,1124.5,1150,1150,1150,1150,1150,1150,1150,1150,1150,1145,1100,1100,1100,1099,1099,1100,1100,1100,1100,1100,1100,1099,1095,1095,1095,1095,1100,1100,1100,1100,1125,1100,1125,1100,1100,1100,1145,1125,1100,1125,1150,1150,1175,1185,1180,1175,1175,1175,1175,1180,1195,1200,1196,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1225,1250,1250,1250,1250,1250,1250,1250,1200,1250,1295,1295,1300,1300,1325,1325,1300,1325,1320,1300,1300,1325,1345,1350,1395,1395,1395,1400
San Antonio,TX,San Antonio,Bexar,3-Bedroom,8,,,,,,,,1195,1100,1050,1125,1035,1095,1095,1095,1095,1100,1130,1100,1100,1095,1100,1100,1140,1150,1150,1100,1098,1150,1150,1125,1100,1100,1125,1100,1200,1155,1237,1250,1239,1225,1240.5,1225,1200,1200,1200,1200,1200,1200,1200,1200,1225,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1295,1295,1300,1300,1300,1300,1295,1295,1300,1295,1300,1303.5,1303.5,1318,1315,1300,1300,1300,1295,1300,1300,1300,1325,1350,1365,1384,1395,1395,1375,1350,1350,1328.5,1342,1345,1350,1360,1395,1400,1400,1400
San Diego,CA,San Diego,San Diego,3-Bedroom,9,,,,,,,,,2800,2800,2750,2325,2400,2400,2400,2395,2400,2395,2300,2200,2250,2200,2200,2200,2250,2205,2150,2195,2200,2200,2200,2250,2200,2245,2200,2160,2195,2200,2200,2225,2295,2350,2300,2390,2350,2200,2395,2350,2300,2295,2300,2450,2500,2495,2500,2495,2500,2545,2500,2595,2650,2600,2600,2600,2595,2600,2675,2600,2600,2650,2710,2795,2785,2750,2795,2732.5,2750,2795,2750,2697.5,2695,2600,2636,2725,2859,2890,2900,2954,2995,2995,2995,2950,2895,2900,2950,2900,2950,2995,3000,3000,3000,3000
Dallas,TX,Dallas-Fort Worth,Dallas,3-Bedroom,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615,1498,1555,1685,1600,1495,1450,1476,1469,1351,1450,1400,1500,1475,1550,1602.5,1550,1520,1650,1652.5,1500,1445,1495,1500,1500,1600,1750,1724,1695,1550,1541,1655,1690,1695,1550,1595,1600,1772,1800,1944.5,1999,2100,1992.5,1940,1900,1850,1837,1882,1945,1868,1828,1900,1900,1905,1935
San Jose,CA,San Jose,Santa Clara,3-Bedroom,11,,,,,,,,,,,,1995,1985,2100,2295,2375,2300,2300,2250,2300,2395,2264.5,2300,2288,2200,2262.5,2275,2295,2350,2395,2660,2600,2599,2400,2495,2450,2400,2495,2500,2499,2513.5,2695,2668,2695,2750,2695,2840,2700,2608,2630,2750,2854,2900,2850,2950,2995,2951.5,2900,3000,3000,3000,3000,3150,3200,3300,3210,3287,3300,3299.5,3295,3250,3300,3395,3350,3314,3450,3400,3397.5,3232.5,3200,3195,3195,3150,3200,3285,3300,3382.5,3450,3405,3500,3450,3400,3395,3385,3395,3397,3400,3400,3495,3500,3500,3550
Jacksonville,FL,Jacksonville,Duval,3-Bedroom,12,997,995,995,1000,995,1000,1050,1000,1000,1000,1000,995,1000,1040,1050,1050,1050,1025,1000,999,1000,1025,1000,1000,1000,1039,1050,1053,1050,1060,1050,1030,1025,1007.5,1095,1150,1150,1165,1175,1190,1175,1190,1195,1195,1195,1200,1200,1219,1230,1230,1250,1200,1219,1200,1200,1200,1200,1200,1225,1235,1200,1200,1225,1230,1225,1100,1100,1100,1095,1095,1095,1095,1099,1100,1150,1175,1150,1195,1184.5,1175,1150,1150,1125,1150,1125,1150,1195,1200,1230,1250,1206,1200,1222.5,1225,1200,1200,1200,1250,1262.5,1290,1295,1299.5
San Francisco,CA,San Francisco,San Francisco,3-Bedroom,13,,,,,,,,,,,,,,,,,,,,,4500,4395,4000,3900,3890,4200,4000,4000,4500,4500,4225,4500,4197.5,4500,4500,4980,4987.5,4800,4495,5275,5200,5195,5295,5500,5315,5199.5,5200,5000,5150,4997,5135,5500,4900,4800,5625,5500,5800,5500,5950,5995,5999,5995,5795,5650,5945,6200,6500,6250,5900,5800,5900,5995,5950,5899.5,5680,5950,5595,5642.5,5649.5,5647.5,5331.5,5500,5200,5000,5495,5500,5387.5,5495,5495,5500,5477,5450,5495,5495,5500,5495,5395,5500,5500,5500,5500,5600
Indianapolis,IN,Indianapolis,Marion,3-Bedroom,14,,,,,,,,,,,,,850,797,850,850,795,750,775,775,775,789,795,795,795,795,795,800,775,777.5,799.5,800,795,795,775,784,795,800,850,850,850,850,850,850,800,825,825,850,850,850,850,850,850,900,925,900,899,899,899,900,900,925,925,950,925,875,899.5,900,890,850,850,850,875,900,975,1000,975,975,950,995,929,950,950,950,995,995,1000,1007.5,1010,1025,1000,1010,1010,1021,1000,1004,1025,1035,1052,1050,1015,1050
Austin,TX,Austin,Travis,3-Bedroom,15,,,,,,,,1292.5,1150,1250,1262.5,1250,1300,1300,1395,1437.5,1425,1395,1300,1295,1285,1307.5,1350,1395,1400,1450,1400,1395,1396,1395,1350,1348.5,1347,1350,1362,1340,1355,1342,1360,1350,1375,1399,1470,1500,1500,1589,1550,1552.5,1525,1525,1545,1584.5,1550,1580,1600,1585,1630,1600,1575,1575,1595,1595,1665,1750,1750,1702,1699,1695,1732,1800,1799,1765,1750,1801,1780,1765,1704,1739.5,1767,1659,1653,1647.5,1600,1700,1772,1795,1800,1800,1795,1799,1794.5,1730,1749,1750,1800,1775,1795,1762.5,1837,1795,1800,1782
Fort Worth,TX,Dallas-Fort Worth,Tarrant,3-Bedroom,16,,,,,,,,,,,,,1195,1195,1195,1200,1200,1195,1195,1150,1150,1125,1150,1175,1195,1195,1195,1195,1195,1195,1195,1195,1195,1200,1195,1179.5,1195,1200,1205,1225,1250,1250,1250,1250,1225,1200,1250,1249,1230,1250,1250,1295,1300,1300,1297.5,1295,1295,1295,1300,1300,1325,1345,1350,1350,1350,1375,1350,1350,1350,1350,1350,1350,1350,1375,1395,1395,1395,1399,1395,1395,1395,1395,1395,1400,1425,1450,1470,1495,1500,1500,1495,1499,1447,1450,1425,1425,1450,1499,1522.5,1550,1525,1550
Detroit,MI,Detroit,Wayne,3-Bedroom,17,,,,,,,,,,,,,,,,,,,,,,700,700,750,750,750,750,750,750,750,750,750,750,750,750,750,750,800,800,800,800,800,773,750,750,750,750,750,750,750,750,750,750,750,750,750,750,725,725,750,730,750,725,750,750,750,762.5,750,775,750,750,750,750,750,762.5,775,800,850,800,755,787.5,800,750,750,800,800,800,800,800,800,800,800,800,800,800,800,800,812.5,850,825,800,825
Columbus,OH,Columbus,Franklin,3-Bedroom,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1000,1100,1000,995,975,995,1130,1095,1050,1025,1095,1150,1115,1150,1100,1100,1150,1150,1148.5,1150,1150,1100,1100,1145,1237.5,1199,1195,1197,1200,1200,1200,1200,1175,1150,1225,1197,1165,1150,1200,1200,1225,1295,1250,1250,1200,1200,1300,1349,1340,1299,1295,1295,1335,1350,1320,1300,1350
Memphis,TN,Memphis,Shelby,3-Bedroom,19,,,,,,,,,1100,1045,995,950,975,950,950,950,950,900,900,975,973.5,900,895,900,925,950,950,950,950,900,895,900,895,915,895,888,895,895,875,875,875,895,870,850,875,895,895,895,850,875,875,895,895,895,895,895,895,895,895,895,895,895,895,875,895,895,895,885,895,895,895,895,895,900,895,900,950,950,920,900,925,925,945,900,900,895,900,916,895,895,895,895,895,895,895,895,895,895,945,945,935,950
Charlotte,NC,Charlotte,Mecklenburg,3-Bedroom,20,995,975,975,995,995,995,995,990,975,995,975,950,975,995,995,995,995,1025,1000,1000,1000,1000,995,1000,1000,1050,1000,1005.5,1050,1050,1050,1050,1050,1050,1050,1050,1075,1095,1100,1100,1121,1117,1120,1100,1100,1095,1095,1075,1050,1050,1075,1100,1100,1150,1150,1150,1150,1150,1150,1175,1187,1195,1200,1237.5,1245,1225,1250,1225,1225,1250,1250,1250,1275,1295,1295,1295,1295,1300,1299,1325,1250,1295,1250,1325,1345,1379,1400,1425,1400,1427,1420,1433,1425,1445,1409.5,1415.5,1445,1450,1500,1501,1500,1495
El Paso,TX,El Paso,El Paso,3-Bedroom,21,,,,,,,,,,,,,,1275,1300,1200,1200,1195,1150,1150,1175,1150,1100,1200,1150,1200,1200,1195,1195,1195,1150,1100,1097.5,1050,1050,1002.5,1050,1050,1050,1095,1100,1100,1100,1100,1100,1050,1100,1095,1100,1100,1100,1100,1150,1130,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1100,1100,1100,1100,1095,1100,1100,1100,1100,1100,1100,1100,1100,1050,1100,1050,1050,1099,1100,1100,1100,1112.5,1100,1100,1100,1100,1099,1075,1075,1075,1050,1100,1100,1100,1150,1150
Boston,MA,Boston,Suffolk,3-Bedroom,22,,,,,,,,,,,,,,,,,,,,,,2300,2350,2500,2400,2400,2400,2400,2400,2400,2450,2500,2500,2500,2600,2750,2700,2600,2600,2600,2600,2600,2600,2600,2600,2700,2600,2700,2750,2700,2750,2700,2700,2695,2650,2650,2650,2600,2700,2895,2850,2800,2800,2750,2750,2700,2700,2697,2680,2700,2800,2975,2999,2895,2800,2800,2725,2700,2750,2700,2700,2650,2750,3000,3000,2900,2895,2850,2850,2820,2800,2800,2800,2900,3000,3100,3097.5,3000,2950,2925,2900,2850
Seattle,WA,Seattle,King,3-Bedroom,23,,,,,,,,,,,,,,,,,1897.5,1900,1895,1995,2000,1950,1897.5,1900,1850,1850,1800,1900,2000,1995,1995,1895,1925,2000,2150,2200,2100,2075,2000,2100,2227.5,2227.5,2295,2300,2250,2295,2200,2200,2150,2150,2197.5,2400,2395,2500,2500,2495,2450,2400,2400,2400,2450,2500,2500,2750,2750,2750,2685,2795,2650,2600,2500,2650,2695,2695,2600,2650,2800,2700,2700,2750,2651.5,2600,2595,2695,2700,2895,2950,2950,2995,2995,2995,2900,2895,2795,2750,2750,2800,2850,2995,3000,2995,2950
Baltimore,MD,Baltimore,Baltimore City,3-Bedroom,24,,,,,,,,,,,,,,,,,,1200,1195,1195,1200,1200,1225,1295,1295,1220,1297.5,1300,1250,1297,1250,1300,1295,1200,1200,1200,1200,1200,1270,1300,1250,1374,1300,1300,1275,1200,1200,1200,1200,1200,1250,1300,1250,1300,1400,1350,1325,1395,1265,1245,1239,1295,1379,1400,1395,1350,1340,1300,1350,1300,1350,1350,1310,1400,1400,1347,1444.5,1350,1200,1232.5,1300,1312.5,1295,1295,1270,1300,1400,1350,1390,1350,1300,1300,1250,1299,1300,1318,1300,1350,1400,1400,1400,1400
Denver,CO,Denver,Denver,3-Bedroom,25,,,,,,,,,,,,,,,,,1325,1460,1525,1500,1450,1400,1395,1362.5,1491.5,1515,1537,1645,1660,1692.5,1695,1750,1525,1500,1500,1575,1650,1700,1675,1697.5,1700,1897.5,1850,1800,1797.5,1850,1800,1700,1675,1672.5,1730,1950,1980,2000,2070,1995,2050,2098,2050,1995,2240,2100,2195,2250,2395,2395,2362.5,2250,2195,2250,2300,2200,2200,2295,2250,2300,2300,2300,2200,2200,2195,2195,2100,2165,2200,2250,2295,2300,2345,2400,2350,2224.5,2250,2295,2300,2300,2400,2362.5,2400,2450,2400,2395
Washington,DC,Washington,District of Columbia,3-Bedroom,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895,2650,2695,2825,2887.5,2650,2800,2750,2800,3200,2950,3100,3000,2925,3100,3197.5,3100,3192,3000,3149.5,3300,3250,3200,3500,3400,3350,3100,2950,2900,3197.5,3100,3150,3300,3300,3400,3500,3295,3000,2975,3000,2962.5,3200,3300,3300,3250,3500,3500,3550,3400,3300,3395,3400,3395,3450,3477.5,3450,3500,3487.5,3500,3500
Nashville,TN,Nashville,Davidson,3-Bedroom,27,,,1475,1375,1395,1296,1250,1200,1272.5,1200,1297.5,1295,1200,1200,1200,1250,1295,1275,1237.5,1195,1170,1100,1112.5,1100,1122,1179,1197,1200,1200,1195,1200,1195,1160,1165,1150,1145,1150,1168.5,1175,1150,1150,1200,1220,1274,1300,1300,1349,1347.5,1345,1325,1300,1355,1395,1395,1400,1400,1399,1437,1422.5,1400,1400,1400,1450,1475,1475,1500,1500,1500,1495,1495,1500,1550,1523,1500,1579,1500,1550,1570,1595,1575,1500,1550,1558,1625,1695,1695,1695,1725,1740,1700,1700,1700,1695,1650,1650,1650,1672.5,1695,1740,1747.5,1695,1749
Milwaukee,WI,Milwaukee,Milwaukee,3-Bedroom,28,,,,,,,,,,,,,,,,,,,,,975,975,997.5,900,895,922.5,997,1025,995,1050,950,900,995,950,895,895,910,955,975,952.5,925,975,950,1000,995,950,850,862.5,850,850,875,925,950,987.5,970,995,900,885,895,900,897,900,895,875,899,925,925,950,925,947.5,900,999,1045,1000,1050,1125,925,1000,997,995,985,950,920,1000,1100,1100,1150,1095,1050,1050,1040,995,1000,975,1000,1000,1095,1110,1200,1180,1150,1100
Tucson,AZ,Tucson,Pima,3-Bedroom,29,,,,,,,,,,,,,,,,,,895,955,922.5,895,895,850,897,875,905,899,899,950,900,899,899,899,895,895,895,897,899.5,950,925,950,950,950,950,895,950,950,912.5,925,925,950,950,950,975,914,925,900,900,900,895,925,950,999.5,991,950,975,969,975,900,900,950,950,995,1000,1081.5,1025,1050,995,1096.5,975,1000,997,985,995,1050,1112.5,1150,1150,1100,1121.5,1075,1000,1000,1022,1116,1100,1150,1190,1199,1219,1200,1200
Portland,OR,Portland,Multnomah,3-Bedroom,30,,,,,,,,,,,,1295,1300,1297.5,1300,1397.5,1362.5,1395,1395,1395,1400,1395,1375,1295,1392.5,1375,1395,1395,1400,1450,1475,1375,1395,1392.5,1399,1495,1395,1395,1500,1495,1545,1495,1487.5,1495,1495,1495,1495,1495,1495,1462.5,1495,1550,1595,1595,1650,1650,1650,1699,1695,1695,1695,1695,1950,1800,1795,1895,1897.5,1950,1950,1900,1825,1837.5,1895,1950,1995,1985,1995,1950,1975,1895,1850,1895,1895,1895,1950,1995,1999,2095,2100,2195,2195,2029,2000,1995,1995,1995,1995,1995,1995,2150,2100,2095
Oklahoma City,OK,Oklahoma City,Oklahoma,3-Bedroom,31,,,,,,,,,,,,,,,,,,,,800,850,850,962.5,962.5,992.5,1000,850,950,925,937.5,973.5,957,993,1020.5,950,900,1050,1095,1000,1092,1085,997.5,995,1100,1100,995,1095,1050,1045,1000,1050,1150,1150,1150,1150,1100,1100,1097.5,1100,1150,1195,1200,1200,1200,1200,1200,1195,1100,1095,1100,1100,1135,1150,1172.5,1195,1100,1132.5,1100,1050,1100,1029,1050,1050,1050,1045,1095,1096,1100,1100,1095,1075,1050,1050,1050,1050,1050,1050,1050,1095,1080,1060,1090
Omaha,NE,Omaha,Douglas,3-Bedroom,32,,,,,,,,,,,,,995,995,1050,1100,1085,1112.5,1100,995,995,925,975,985,995,999,975,995,927,984.5,975,1050,1059.5,1050,999,979,999,1032.5,1078.5,1100,1135,1130,1100,1149.5,1175,1145,1150,1150,1125,1100,1112.5,1195,1200,1200,1210,1195,1195,1150,1162.5,1150,1150,1175,1200,1225,1200,1195,1200,1200,1195,1100,1195,1195,1197.5,1222.5,1275,1250,1280,1250,1295,1275,1235,1195,1200,1224.5,1250,1275,1300,1345,1300,1300,1300,1300,1300,1300,1295,1295,1300,1350,1350,1325,1375,1350
Albuquerque,NM,Albuquerque,Bernalillo,3-Bedroom,33,,,,,,,,,,,,,,,,1250,1195,1200,1150,1100,1102.5,1095,1100,1175,1100,1175,1100,1100,1100,1150,1125,1150,1100,1095,1095,1095,1100,1100,1100,1100,1150,1150,1180,1177.5,1150,1100,1150,1100,1100,1125,1125,1175,1195,1195,1195,1195,1195,1150,1150,1150,1195,1200,1225,1200,1200,1200,1224,1200,1200,1200,1200,1200,1200,1225,1250,1225,1250,1250,1212.5,1200,1200,1200,1200,1225,1225,1250,1275,1275,1275,1295,1275,1268,1250,1250,1250,1250,1268,1275,1299,1300,1300,1300
Fresno,CA,Fresno,Fresno,3-Bedroom,34,,,,,,,,,,,,,,,,,,,,,,,,,,895,950,950,995,995,1050,1075,1000,995,1000,1050,1040,1050,1050,1050,1000,1025,1050,1070,1095,1095,1150,1100,1095,1095,1095,1050,1050,1095,1075,1100,1075,1095,1095,1095,1100,1100,1100,1125,1150,1150,1175,1200,1200,1200,1195,1150,1195,1190,1200,1195,1195,1195,1262.5,1200,1200,1200,1250,1215,1295,1312.5,1300,1325,1350,1350,1350,1325,1337.5,1350,1325,1350,1350,1395,1400,1395,1395,1435
Sacramento,CA,Sacramento,Sacramento,3-Bedroom,35,,,,,,,,,,,,1200,1195,1177.5,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1195,1200,1195,1195,1195,1200,1200,1200,1199,1195,1195,1195,1198.5,1200,1200,1200,1200,1200,1200,1250,1200,1200,1200,1200,1225,1250,1250,1250,1250,1250,1274.5,1295,1295,1295,1295,1295,1299,1299.5,1300,1325,1300,1350,1350,1327.5,1325,1350,1327,1350,1355,1300,1397.5,1395,1400,1395,1350,1395,1437.5,1395,1450,1467.5,1495,1550,1595,1657.5,1695,1650,1600,1600,1595,1600,1600,1642,1685,1695,1700,1750,1752.5
