RegionName,State,Metro,CountyName,Type,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
New York,NY,New York,Queens,5 or more-Bedroom,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,4797.5,4900,4800,4500,4500,4500,4500,4592.5,4800,4899,5000,5000,4597,4800,4583,4450,4497,4650,4800,5250,4995,5050,5499,5397,5400,5500,5500,4995,4541.5,4500,4500,4300,4642.5,4900,5378,5000,4999
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5 or more-Bedroom,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3800,3995,4250,4250,4500,4500,4500,4500,4500,4425,4200,4500,4397,4500,4325,4447.5,4617.5,4595,4500
Houston,TX,Houston,Harris,5 or more-Bedroom,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3875,3600,3500,3150,3250,3500,3550,3500,3800,3500,3500,3195,3700,3500,3800,3775,3700,3150,3550,3350,3300,2900,3250,3442.5,3225,3200,3250,3700,3800,3800,3269,3025,3150,3200,3375,3475,3800,3300
Philadelphia,PA,Philadelphia,Philadelphia,5 or more-Bedroom,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2600,2580,2600,2500,2500,2500,2500,2500,2500,2550,2637.5,2555,2562.5,2512.5,2500,2500,2500,2500,2325,2500,2500,2550,2862.5,2750,2600,2612.5,2600,2600,2550,2500,2500,2500,2500,2750,2750,2750,2750,2750,2750,2750,2650,2575,2600
Las Vegas,NV,Las Vegas,Clark,5 or more-Bedroom,5,,,,,,,,,,,,,1795,1800,1900,1797.5,1800,1895,1900,1895,1972.5,1972.5,1980,1900,1785,1850,1699.5,1650,1650,1695,1685,1700,1672.5,1650,1650,1650,1699,1700,1700,1700,1695,1700,1744,1800,1795,1700,1700,1700,1750,1750,1775,1800,1795,1800,1800,1822.5,1795,1795,1800,1795,1800,1850,1842.5,1875,1945,1895,1900,1900,1800,1815,1935,1900,1989,1995,1995,2000,2100,1900,1950,1995,1995,1995,1895,1900,1985,2000,2100,2200,2100,2050,2100,2000,2000,2020,2100,2100,2100,2200,2300,2275,2250,2200
San Antonio,TX,San Antonio,Bexar,5 or more-Bedroom,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.5,1995,1875,2050,2050,2000,1995,1997.5,1950,1995,1995,1895,1922.5,1995,2000,2000,2145,2050,1995,1950,1950,2000
San Diego,CA,San Diego,San Diego,5 or more-Bedroom,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4950,5200,4900,4500,4950,5147.5,5100,5200,4750,4800,4997.5,4895,5500,5149.5,5000,4950,4950,4800,4700
San Jose,CA,San Jose,Santa Clara,5 or more-Bedroom,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,4372.5,4200,4395,4550,4700,4300,4285,4225,4200,4125,4197.5,4137.5,4000,4275,4447.5,4925,4970,4850
Jacksonville,FL,Jacksonville,Duval,5 or more-Bedroom,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1700,1600,1750,1912.5,1995,1925,1995,1947.5,1995,1900,1972.5,1995,1659.5,1669,1695,1650,1857.5,1750
Charlotte,NC,Charlotte,Mecklenburg,5 or more-Bedroom,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.5,2185,2175,2247,2200,2197,2262.5,2147.5,2122.5,1995,2045,2047.5,2135,2112.5,2050,2200,2097.5,2200,2195
Boston,MA,Boston,Suffolk,5 or more-Bedroom,11,,,,,,,,,,,,,,,,,,,,,,,,3900,3665,3800,3900,3900,3900,3800,3800,3900,3900,3887.5,4000,4200,4000,3950,3900,3900,3900,3900,3750,3800,3900,3975,4100,4200,4150,4197,4199,4000,3950,3850,3850,3900,4000,3975,4200,4400,4275,4200,4000,4000,3900,3800,3800,3800,3700,3995,4200,4500,4500,4395,4200,4200,4000,4000,4000,4000,3985,3900,4300,4500,4500,4500,4400,4400,4300,4250,4250,4200,4100,4400,4800,4800,4800,4600,4500,4500,4400,4400
Seattle,WA,Seattle,King,5 or more-Bedroom,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3199.5,2875,2625,2650,2595,2850,3000,3200,3400,3400,3500,3465
Nashville,TN,Nashville,Davidson,5 or more-Bedroom,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1750,1662.5,1600,1799,1687.5,1495,1500,1650,1880,1622.5,1500,1700,1847.5,1795,1700,1725,2000
Milwaukee,WI,Milwaukee,Milwaukee,5 or more-Bedroom,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875,912.5,975,1045,995,1025,1000,997.5,1025,950,995,925,895,950,985,1000,995,1050,960
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5 or more-Bedroom,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147.5,2100,2122.5,2247.5,2275,2250,2100,2047.5,2200,2022.5,2200,2200,2200,2195,2260,2275,2300,2363
