RegionName,State,Metro,CountyName,Type,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
New York,NY,New York,Queens,All Homes,1,,,,2250,2400,2400,2400,2575,2800,2680,2900,2600,2350,2595,2695,2700,2700,2800,2895,2850,2800,2650,2595,2450,2600,2550,2595,2630,2600,2650,2695,2700,2750,2750,2800,2800,2800,2800,2800,2900,2800,2700,2800,2850,2895,2900,2908,2950,2950,2900,2850,2950,2995,2900,2900,2900,2950,2900,2850,2950,2950,2950,2990,2900,3000,3000,3000,3000,2995,2995,3000,2997,2975,2995,2995,2995,2925,2950,2985,2950,2975,2949.5,2895,2924,3000,3000,3000,3000,3000,3000,3000,3000,2990,2950,2950,2900,2900,2850,2895,2900,2950,2947.5
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,All Homes,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2350,2700,2600,2600,2600,2600,2799,2800,2895,2900,2990,2900,2950,2990,2995,2995,3000,3200,3200,3250,3260,3350,3300,3250,3200,3225,3350,3400,3400,3400,3275,3300,3290,3150,3495,3175,3500,3200,3295,3395,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3490,3450,3450,3500,3500,3530,3500
Chicago,IL,Chicago,Cook,All Homes,3,1575,1500,1500,1500,1562.5,1500,1500,1619,1650,1700,1800,1600,1600,1600,1600,1625,1624.5,1650,1650,1650,1650,1600,1600,1611,1625,1650,1600,1600,1650,1650,1650,1599,1600,1570,1600,1598,1595,1590,1576,1600,1600,1639,1635,1663,1700,1695,1700,1698,1685,1695,1700,1765,1764.5,1785,1800,1800,1800,1798,1791.5,1750,1750,1780.5,1750,1780,1780,1795,1800,1750,1720,1729.5,1700,1743.5,1750,1760,1775,1750,1750,1750,1750,1700,1714,1700,1698.5,1700,1700,1745,1750,1795,1800,1850,1800,1800,1750,1750,1720,1721.5,1738.5,1750,1765.5,1800,1850,1840
Houston,TX,Houston,Harris,All Homes,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228,1209,1250,1250,1300,1395,1400,1400,1450,1450,1450,1450,1450,1450,1460,1473.5,1500,1549,1550,1600,1575,1550,1525,1515,1550,1592,1575,1575,1593.5,1550,1500,1496,1475,1495,1475,1400,1445,1400,1495,1500,1500,1517.5,1500,1515,1500,1500,1550,1500,1500,1500,1500,1495,1500,1545,1550,1595,1599
Philadelphia,PA,Philadelphia,Philadelphia,All Homes,5,1350,1290,1250,1300,1400,1500,1500,1450,1485,1450,1500,1400,1385,1450,1500,1495,1450,1450,1495,1400,1350,1330,1330,1250,1350,1400,1425,1400,1400,1350,1282.5,1200,1200,1225,1150,1150,1200,1295,1350,1400,1350,1300,1295,1300,1289,1250,1250,1250,1200,1250,1300,1500,1500,1500,1455,1400,1375,1350,1300,1395,1400,1500,1550,1595,1550,1500,1500,1475,1425,1425,1400,1400,1425,1500,1575,1550,1500,1447.5,1400,1399,1300,1395,1300,1350,1390,1500,1550,1550,1550,1500,1495,1450,1450,1450,1400,1400,1400,1495,1500,1550,1500,1500
Phoenix,AZ,Phoenix,Maricopa,All Homes,6,1300,1200,1200,1200,1100,1150,1195,1100,1100,1099,1099,1025,1025,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1000,1050,1050,1000,1000,1000,1000,1000,999,1000,1000,1000,1000,1000,1000,995,1050,1050,1050,1050,1050,1050,1050,1095,1100,1100,1125,1150,1129.5,1130,1125,1150,1150,1190,1195,1200,1200,1200,1200,1200,1195,1199,1195,1200,1217,1225,1250,1250,1200,1212,1200,1200,1200,1200,1200,1195,1220,1250,1295,1300,1325,1325,1325,1300,1300,1299,1295,1300,1300,1300,1350,1350,1395,1395,1400
Las Vegas,NV,Las Vegas,Clark,All Homes,7,1295,1250,1250,1250,1200,1200,1200,1250,1225,1200,1175,1195,1150,1122.5,1150,1195,1175,1150,1150,1150,1145,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1100,1095,1095,1095,1095,1095,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1150,1150,1150,1150,1175,1175,1195,1195,1195,1195,1195,1198,1200,1200,1200,1225,1200,1200,1246.5,1249,1225,1225,1245,1227,1250,1250,1250,1250,1250,1275,1200,1200,1200,1250,1275,1200,1250,1295,1300,1330,1325,1350,1350,1350,1350,1325,1345,1350,1350,1350,1375,1400,1400,1400,1425
San Antonio,TX,San Antonio,Bexar,All Homes,8,,,,,,,1160,1160,1162.5,1100,1197.5,1095,1100,1125,1150,1150,1195,1200,1195,1150,1100,1100,1100,1125,1150,1150,1050,1050,1100,1100,1100,1095,1075,1095,1039.5,885,900,890,915,908,995,939,950,1000,1095,1065,1075,1065,1075,1100,1100,1100,1125,1150,1150,1125,1100,1100,1099,1100,1100,1124,1100,1125,1150,1135,1125,1100,1100,1105,1105,1135,1138,1100,1082,1075,1075,1085,1095,1064,1058,1095,1029,1150,1180,1195,1200,1225,1285,1275,1250,1250,1250,1237,1225,1245,1250,1250,1250,1288.5,1295,1300
San Diego,CA,San Diego,San Diego,All Homes,9,,,,,,,3500,3000,2797.5,2500,2550,2100,2200,2200,2295,2300,2295,2250,2250,2200,2150,2099.5,2095,2000,2095,2000,1900,1895,2000,1995,1995,2000,1995,1995,1995,1975,1900,1900,1950,1995,2000,2000,1900,2200,2250,2195,2200,2200,2200,2195,2150,2250,2295,2295,2300,2350,2395,2347.5,2300,2350,2395,2300,2300,2262.5,2300,2317.5,2350,2350,2350,2395,2400,2400,2400,2400,2400,2325,2395,2389,2350,2395,2350,2300,2350,2400,2495,2500,2500,2595,2600,2600,2595,2550,2500,2500,2500,2500,2600,2595,2695,2695,2700,2750
Dallas,TX,Dallas-Fort Worth,Dallas,All Homes,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1150,1075,1000,1115,1115,1200,1195,1100,1125,1200,1195,1199,1250,1295,1239,1250,1250,1250,1300,1250,1241.5,1225,1250,1300,1300,1350,1325,1300,1300,1300,1300,1300,1325,1375,1395,1400,1400,1450,1469,1400,1400,1400,1400,1407.5,1450,1495,1495,1495,1450,1450,1450,1400,1450,1495,1450,1500,1550,1599,1600,1650,1695,1650,1650,1650,1599,1600,1600,1600,1600,1600,1650,1650,1650,1675
