RegionName,State,Metro,CountyName,Type,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
New York,NY,New York,Queens,Condo,1,,,,,,,,,,,,,2850,2747.5,2792.5,2800,2800,2900,2995,2995,2999,2700,2595,2400,2600,2550,2600,2695,2750,2750,2800,2800,2900,2895,2950,2900,2950,2900,2900,2945,2850,2700,2800,2895,3050,3200,3200,3200,3200,3200,3200,3200,3225,3150,3195,3163,3195,3109,3125,3200,3199,3200,3200,3200,3210,3200,3200,3200,3200,3200,3200,3200,3181,3195,3150,3150,3000,3100,3100,3000,3095,3095,3000,3100,3200,3200,3250,3300,3300,3255,3200,3200,3200,3175,3176.5,3150,3100,3000,3095,3100,3150,3150
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Condo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675,2600,2650,2600,2695,2650,2750,2885,2850,2800,2895,2850,2900,2925,2850,2900,2950,2900,2950,2950,2800,2850,2900,2850,3127,2800,2998,2850,2895,2950,2995,3000,3000,3017,3100,3180,3015,3000,3000,3000,3100,3095,3095,3150,3200,3150,3100
Chicago,IL,Chicago,Cook,Condo,3,1500,1500,1500,1500,1550,1500,1500,1600,1650,1695,1800,1650,1650,1600,1650,1650,1650,1650,1671,1700,1700,1668.5,1667.5,1677.5,1700,1700,1695,1650,1699,1695,1700,1700,1734,1699,1660,1655,1699,1664,1650,1643,1650,1650,1650,1695,1775,1750,1775,1780,1795,1795,1800,1800,1825,1850,1850,1850,1850,1800,1829.5,1800,1812,1845,1800,1800,1805,1810,1813,1800,1795,1800,1800,1800,1850,1850,1850,1800,1845,1800,1825,1800,1800,1800,1795,1800,1800,1800,1850,1850,1900,1900,1900,1850,1825,1800,1800,1800,1800,1850,1850,1875,1900,1900
Houston,TX,Houston,Harris,Condo,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,1355,1317,1300,1324,1317,1301.5,1300,1300,1311,1299,1301.5,1317,1303.5,1303,1304.5,1317,1300,1319,1303.5,1422,1400,1390,1387.5,1395,1395,1395,1395,1400,1427,1425.5,1417.5,1401,1400,1393,1355,1350,1350,1319,1320,1390,1300,1300,1300,1300,1311,1300,1300,1300,1300,1299,1300,1300,1300,1300,1300,1335.5,1345.5,1350,1350
Philadelphia,PA,Philadelphia,Philadelphia,Condo,5,1800,1800,1600,1650,1900,1900,1950,1850,1897.5,1850,1675,1650,1650,1595,1645,1700,1650,1725,1750,1750,1700,1700,1700,1550,1650,1500,1550,1600,1600,1550,1595,1595,1552.5,1600,1482.5,1450,1500,1500,1500,1500,1395,1345,1395,1450,1650,1600,1600,1600,1600,1595,1600,1650,1650,1650,1650,1700,1700,1700,1577.5,1685,1700,1725,1700,1700,1690,1695,1750,1700,1750,1725,1675,1700,1700,1750,1775,1750,1700,1700,1700,1700,1600,1650,1700,1625,1720,1750,1775,1800,1750,1790,1750,1750,1700,1695,1700,1700,1725,1750,1795,1785,1785,1750
Phoenix,AZ,Phoenix,Maricopa,Condo,6,,895,800,799.5,835,795,835,950,937.5,950,950,925,899,875,895,900,900,895,900,900,895,850,850,850,850,850,800,800,825,850,800,850,850,850,865,850,850,875,895,875,860,850,844,850,900,895,900,900,900,925,950,975,950,950,975,950,950,950,960,975,975,975,1000,1034.5,1050,1000,1063,1050,1000,1005,1000,1050,1095,1079,1050,996,1000,1000,1000,975,999,1000,995,1063,1079,1100,1100,1100,1147.5,1148,1150,1150,1150,1145,1150,1195,1150,1175,1175,1200,1195,1200
Las Vegas,NV,Las Vegas,Clark,Condo,7,,899,895,895,895,895,900,940,900,800,795,800,800,800,850,850,800,815,825,825,800,800,825,800,800,800,795,795,795,795,775,795,795,800,800,825,800,850,850,825,825,900,900,850,817.5,825,825,850,850,850,850,850,850,850,855,895,900,900,900,925,900,925,950,947.5,932.5,925,925,900,900,900,900,900,907,910,907,925,995,920,950,950,1100,1200,1100,1195,1200,1250,1250,1100,1075,1050,1060,1050,1040,1047,1050,1050,1095,1100,1125,1139,1139.5,1150
San Antonio,TX,San Antonio,Bexar,Condo,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,770,782,850,851.5,850,875,838,825,850,879,850,849,875,879,880,882.5,995,950,939,900,900,922.5,940,997,995,1005,1000,977,950,899.5,880,877,875,900,883,875.5,1025,1040,1105,1100,1025,1027.5,1030,1085,1100,1100,995,1000,950,995,995,955,950,1025,950,1010,1050,1030,1017.5,1050,1100,1130,1200,1200,1160,1150,1100,1100,1150,1132.5,1130,1095,1100,1100
San Diego,CA,San Diego,San Diego,Condo,9,,,,,,,,,,,,,1950,1895,1950,1900,1850,1800,1850,1895,1895,1895,1850,1800,1800,1825,1750,1695,1750,1749,1700,1795,1800,1800,1800,1795,1790,1795,1795,1795,1799,1790,1700,1992.5,1999,1950,1995,2037,1999,1995,1986.5,1995,2050,2050,2100,2150,2150,2150,2100,2100,2100,2100,2000,2000,2050,2050,2100,2150,2190,2195,2195,2195,2195,2195,2100,2100,2195,2199,2100,2195,2100,2025,2100,2150,2200,2225,2295,2325,2395,2395,2350,2300,2300,2300,2300,2300,2300,2350,2395,2400,2400,2400
Dallas,TX,Dallas-Fort Worth,Dallas,Condo,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,1300,1351,1358.5,1250,1250,1250,1250,1275,1295,1325,1295,1250,1295,1300,1250,1312.5,1325,1350,1350,1350.5,1300,1397,1350,1350,1381.5,1395,1395,1395,1395,1399,1395,1353.5,1350,1320,1392.5,1300,1376.5,1395,1395,1400,1415,1471,1482,1469,1475,1450,1450,1457.5,1400,1423.5,1450,1425,1481,1495,1500,1495,1500,1500
