RegionName,State,Metro,CountyName,Type,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
New York,NY,New York,Queens,Duplex/Triplex,1,,,,,,,,,,,,,,,,,,,,2600,2600,2695,2650,2695,2700,2700,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2799,2800,2800,2845,2895,2895,2895,2895,2900,2800,2800,2750,2795,2800,2800,2895,2895,2550,2525,2550,2560,2525,2500,2500,2595,2599,2650,2695,2650,2600,2650,2650,2600,2600,2595,2555,2550,2550,2600,2600,2600,2624,2650,2675,2748,2650,2500,2550,2500,2500,2550,2596,2600,2612,2675,2600,2595,2500,2500,2500,2500,2500,2550,2600,2650,2695
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Duplex/Triplex,2,,,,,,,,,,,,1535,1535,1550,1500,1550,1500,1562.5,1600,1495,1450,1450,1495,1549,1550,1595,1581,1540,1450,1400,1450,1500,1405,1400,1400,1475,1443,1443,1495,1500,1495,1450,1450,1495,1495,1400,1495,1475,1450,1475,1495,1575,1550,1695,1625,1597,1650,1650,1700,1700,1708,1750,1750,1695,1795,1795,1795,1725,1750,1850,1850,2050,2125,2200,2195,2299,2000,2195,1850,1900,1950,1825,1850,1995,2100,2095,2100,2095,2095,2095,2050,2000,2095,2095,2000,1995,1999,2000,2000,2100,2149,2149.5
Chicago,IL,Chicago,Cook,Duplex/Triplex,3,,1215,1325,1360,1235,1305,1250.5,1345,1425,1472.5,1400,1350,1352.5,1375,1435,1449,1500,1450,1434,1425.5,1425,1415,1435,1350,1300,1325.5,1450,1550,1570,1550,1550,1499,1500,1500,1515,1535,1600,1550,1589.5,1645,1630,1607.5,1645,1600,1574,1600,1650,1600,1550,1550,1550,1519,1570,1700,1629.5,1665,1686.5,1712,1597,1650,1801,1601,1650,1700,1700,1734.5,1659,1895,2050,2150,1950,1800,1895,1600,1515,1550,1585,1500,1537.5,1500,1485,1503,1525,1495,1500,1500,1500,1500,1525,1550,1575,1595,1645,1650,1666,1635,1645,1650,1675,1700,1730,1750
Houston,TX,Houston,Harris,Duplex/Triplex,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214,1275,1314.5,1374,1400,1250,1200,1200,1200,1229,1300,1249.5,1200,1100,1135.5,1100,1185,1200,1180,1225,1200,1200,1195,1179,1174.5,1195,1163,1195,1180,1110,1095,1095,1085,1095,1150,1150,1165,1106,1100,1100,1095,1075,1025,1095,1100,1099,1100,1100,1095,1050
Philadelphia,PA,Philadelphia,Philadelphia,Duplex/Triplex,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1300,1295,1175,1160,1195,1200,1275,1295,1250,1250,1200,1250,1325,1395,1350,1330,1350,1400,1375,1400,1400,1350,1395,1350,1450,1350,1395,1402.5,1400,1479,1425,1395,1300,1272.5,1250,1200,1295,1272.5,1295,1300,1325,1395,1400,1400,1400,1372.5,1350,1300,1350,1300,1300,1280,1387.5,1400,1395,1387.5,1395
Phoenix,AZ,Phoenix,Maricopa,Duplex/Triplex,6,,,,,,,,,,,,550,550,572.5,550,550,567.5,550,550,550,595,575,575,675,725,750,702.5,775,685,635,625,635,625,625,625,649,650,620,625,600,600,625,650,683,699,650,650,675,675,675,675,625,637,650,675,672.5,650,625,600,650,631,650,700,695,700,700,700,695,695,662,699.5,690,695,750,750,730,725,730,730,700,749.5,700,695,775,776,795,797.5,795,828,875,850,834,850,875,850,850,850,850,877.5,850,877.5,895
Las Vegas,NV,Las Vegas,Clark,Duplex/Triplex,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,785,850,850,900,1050,975,850,855,850,875,800,795,795,850,950,950,900,900,950
San Antonio,TX,San Antonio,Bexar,Duplex/Triplex,8,,,,,,,,,,,,,785,765,725,625,622.5,650,675,650,695,750,750,750,700,725,640,675,650,641,680,695,700,695,695,700,745,725,745,775,795,849,812,845,850,869,899,925,900,919.5,925,910,895,895,875,875,857.5,875,850,875,850,830,825,875,900,900,885,895,900,900,855,850,899,900,907.5,870,995,900,1026,900,950,995,900,950,925,910,902.5,999.5,1050,1000,995,975,980,1000,999,1000,1075,1097.5,995,995,925,925
San Diego,CA,San Diego,San Diego,Duplex/Triplex,9,,,,,,,,,,,,,,,,1300,1250,1275,1299,1250,1297,1322.5,1295,1350,1395,1325,1325,1325,1275,1225,1250,1200,1200,1197,1250,1275,1300,1315,1300,1300,1300,1300,1395,1375,1300,1320,1400,1450,1395,1395,1445,1595,1495,1475,1495,1400,1395,1395,1395,1395,1450,1395,1395,1399,1450,1550,1550,1595,1495,1512.5,1595,1697.5,1695,1697.5,1595,1675,1595,1550,1550,1585,1595,1525,1512.5,1645,1695,1650,1650,1677.5,1662.5,1697.5,1700,1725,1800,1700,1700,1750,1725,1750,1800,1895,1895,1850
Dallas,TX,Dallas-Fort Worth,Dallas,Duplex/Triplex,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,1129,1200,1150,1295,1215,1301,1419,1423,1411.5,1300,1275,1285,1235,1200,1150,1145.5,1100,1099,1157.5,1195,1180,1150,1295,1397.5,1388,1305.5,1197.5,1170,1205,1195,1200,1170,1275,1299,1343,1395,1322.5,1350,1375,1500,1395,1350,1350,1357,1230,1200,1195,1050,1095,1095,1100
San Jose,CA,San Jose,Santa Clara,Duplex/Triplex,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2450,2095,2122.5,1895,1795,1895,1906.5,1875,1900,2025,2097.5,2100,2197.5,2200,2233,2100,2270.5,2195,2100,2095,2097.5,2090,2200,2372.5,2400,2433.5,2400
Jacksonville,FL,Jacksonville,Duval,Duplex/Triplex,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,875,895,960,929.5,995,942.5,924,950,915,900,837.5,850,800,825,850,827.5,847.5,875
San Francisco,CA,San Francisco,San Francisco,Duplex/Triplex,13,,,,,,,,,,,,,,,,,,,,,,,,,2800,2750,2825,2800,2950,2850,2895,2795,2950,3172.5,3600,3200,3200,3297.5,3297.5,3500,3750,3850,3750,3400,3200,3295,3400,3400,3197.5,3200,3485,3700,3600,3795,3797.5,3950,3900,3900,4000,4000,4000,3900,3990,3950,4007.5,3995,4200,3800,3800,3997.5,4000,4295,4200,4150,4137.5,4250,3861,4000,3495,3595,3400,3395,3250,3400,3495,3500,3500,3600,3595,3677.5,3550,3550,3595,3550,3500,3600,3595,3550,3695,3695,3695,3650
Austin,TX,Austin,Travis,Duplex/Triplex,14,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1250,1222.5,1095,1004,1025,1050,1035,1077.5,1095,1100,1007,950,988,1050,1055.5,1075,1054.5,1036.5,1026,1070,1025,1044,1100,1166,1178,1200,1125,1200,1210,1200,1245,1150,1187,1200,1232.5,1235,1299,1250,1295,1261.5,1295,1350,1397.5,1400,1350,1395,1350,1378,1375,1360,1300,1295,1300,1300,1299,1250,1280,1297,1300,1338,1350,1350,1335,1350,1309,1305.5,1349.5,1337.5,1400,1400,1431,1400,1425,1395,1400,1400
Fort Worth,TX,Dallas-Fort Worth,Tarrant,Duplex/Triplex,15,,,,,,,,,,,,,715,750,715,695,700,725,725,725,701.5,695,700,709.5,767,775,750,765,765,750,765,765,750,795,775,770,750,795,787.5,760,775,792.5,775,775,775,725,810.5,751,750,750,775,777.5,770,725,720,727.5,716,716,725,750,799,799,795,775,750,745,795,710,797,850,825,850,900,897.5,900,905,910,895,975,975,895,950,897.5,975,962.5,957.5,990,1012,1000,1025,1050,1052.5,1025,999,980,995,1050,1075,1095,1095,1050,1095
Detroit,MI,Detroit,Wayne,Duplex/Triplex,16,,,,,,,,,,,,,,,,,,,,,550,550,550,560,597.5,591,595,600,600,565,575,550,550,550,537.5,550,540,550,550,550,550,550,550,550,550,550,550,550,550,550,550,525,525,567.5,600,550,550,550,530,600,597.5,575,575,575,575,585,625,625,625,600,595,600,600,600,625,615,630,650,637.5,657.5,625,630,600,600,600,615,650,650,645,645,650,650,645,650,675,700,725,650,650,685,675,692.5
Columbus,OH,Columbus,Franklin,Duplex/Triplex,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.5,767,850,855,900,950,990,955,906.5,901.5,875,995,1015,949.5,900,899,875,950,980,1085,1035,1000
Memphis,TN,Memphis,Shelby,Duplex/Triplex,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,600,597.5,625,650,600,600,625,550,550,550,550,550,550,550,550,550,550,550
Charlotte,NC,Charlotte,Mecklenburg,Duplex/Triplex,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,995,1006.5,1002.5,900,995,907.5,1004.5,1050,1034.5,1056,1030,1095,1019,1045,999.5,978,1030,1050,1095,950,950,975,990,962.5,995
El Paso,TX,El Paso,El Paso,Duplex/Triplex,20,,,,,,,,,,,,,,,,,825,825,795,837.5,800,825,837.5,865,855,875,797.5,750,850,867.5,792.5,770,775,750,757.5,750,750,800,825,800,800,795,775,795,795,700,795,750,780,790,795,750,800,800,800,795,800,795,800,800,825,825,825,850,850,795,795,797.5,800,800,800,825,800,847.5,840,850,850,850,825,837.5,776.5,800,800,800,800,800,795,795,797.5,800,800,799.5,800,797,780,785,795,800,785,775,775,800
Boston,MA,Boston,Suffolk,Duplex/Triplex,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,2195,2200,2300,2200,2050,2000,2000,2100,2150,2200,2325,2399,2400,2350,2400,2400,2350,2350,2275,2200,2250,2200,2200,2250,2300,2300,2400,2400,2340,2350,2300,2295,2295,2300,2300,2300,2300,2400,2446,2495,2495,2400,2400,2500,2400,2400,2500,2450,2300,2400,2550,2525,2550,2575,2595,2550,2550,2550,2518,2500,2500,2500,2650,2700,2600,2600,2600,2600,2600
