RegionName,State,Metro,CountyName,Type,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
New York,NY,New York,Queens,Studio,1,2000,2300,2499,2200,2300,2195,1900,1950,2100,2000,2350,2097.5,1900,2000,2000,2040,2045,2100,2200,2195,2147,2100,2095,2095,2100,2100,2150,2195,2195,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2235,2290,2280,2297,2300,2295,2299,2295,2295,2300,2331,2300,2270,2292,2300,2300,2300,2310,2325,2350,2399,2395,2400,2395,2400,2400,2400,2375,2350,2345,2350,2350,2350,2325,2340,2350,2340,2348.5,2350,2375,2199,2295,2400,2400,2425,2467,2475,2480,2450,2400,2375,2350,2350,2313,2350,2356.5,2399,2400,2400,2400
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Studio,2,,,,,,,,,,,,,,,,,,,,,,,,898,895,945,950,950,925,900,950,995,950,985,959,980,1050,1055,1050,1095,1095,1025,1100,1098.5,1095,950,1050,1095,1085,1050,1065,1125,1195,1280,1340,1295,1295,1275,1345,1345,1345,1350,1375,1375,1439,1445,1425,1425,1450,1400,1395,1500,1550,1595,1574.5,1658,1590,1695,1550,1610,1525,1550,1450,1500,1700,1930,1812,1725,1860,1960,1950,1955,1926.5,1866.5,1873,1850,1867.5,1856.5,1858,1890,1816,1875
Chicago,IL,Chicago,Cook,Studio,3,1450,1450,1425,1499,1497,1400,1300,1510,1600,1625,1750,1500,1449,1350,1353,1375,1350,1300,1307,1350,1315,1289,1295,1270,1225,1223,1280,1295,1289,1335,1395,1400,1395,1395,1386,1400,1430,1415,1400,1434,1440,1450,1495,1500,1495,1450,1475,1485,1465,1450,1450,1495,1530,1583,1500,1600,1595,1516,1471.5,1527.5,1625,1550,1500,1530,1550,1520,1500,1550,1550,1550,1523,1525,1564,1510,1500,1495,1450,1450,1450,1459,1500,1509,1498.5,1500,1499,1491.5,1485,1475,1492,1500,1535,1550,1550,1540,1510,1519,1500,1480,1450,1450,1475,1495
Houston,TX,Houston,Harris,Studio,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.5,920,859,950,950,955,937,920,1014.5,1034,1010,1010,992.5,950,1000,1100,1132.5,1215,1195,1200,1200,1114,1100,1100,1150,1200,1195,1077.5,1202,1115,1100,1090,1160,1299,1292.5,1319,1269,1309,1329.5,1283,1249.5,1250,1150,1239,1201,1125,1050,1220,1245,1211,1200,1220,1205,1180,1208,1250,1240,1277,1259,1212.5,1255,1250,1369,1350,1359,1345
Philadelphia,PA,Philadelphia,Philadelphia,Studio,5,,1450,1262.5,1362.5,1275,1200,1400,1250,1300,1500,1425,1250,1225,1250,1350,1300,1300,1372.5,1400,1400,1200,1150,1154,1100,1124,1134,1100,1195,1100,1100,1150,1195,1100,1100,1150,1100,1100,1250,1200,1200,1090,1057,1150,1200,1200,1100,1100,1100,1100,1150,1150,1200,1200,1250,1200,1200,1250,1250,1177,1200,1200,1200,1260,1295,1250,1220,1250,1250,1200,1233,1226,1250,1250,1300,1300,1300,1315,1200,1250,1250,1300,1250,1300,1230,1252.5,1300,1300,1300,1275,1270,1295,1302,1305,1300,1300,1347.5,1325,1395,1385,1350,1350,1325
Phoenix,AZ,Phoenix,Maricopa,Studio,6,1275,1200,1212.5,1225,1175,1195,1195,1100,1095,1099,1099,1049,1050,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1050,1050,1050,1045,1025,1000,1000,1000,995,1000,1000,1000,1000,1000,1025,995,1050,1050,1050,1050,1075,1050,1050,1095,1125,1150,1150,1175,1150,1150,1150,1150,1150,1195,1200,1222,1225,1225,1200,1200,1200,1200,1190,1200,1245,1250,1250,1250,1225,1250,1200,1200,1200,1200,1200,1200,1250,1250,1295,1300,1325,1335,1325,1300,1300,1295,1295,1300,1295,1299,1321.5,1335,1366,1350,1395
San Antonio,TX,San Antonio,Bexar,Studio,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.5,749,766,839,800,938,940.5,863,859,892,945,940,900,960,970,945,957,1050,1061,1024.5
San Diego,CA,San Diego,San Diego,Studio,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.5,1515,1562,1594,1595,1547.5,1595,1610,1650,1705,1695,1477.5,1495,1608.5,1595,1599,1595,1500,1599.5,1617,1450,1607.5,1437.5,1477.5,1595,1685,1750,1680,1726.5,1745,1687,1742.5,1653,1700,1671,1670,1685,1771,1796.5,1795,1850,1850,1870,1881
Dallas,TX,Dallas-Fort Worth,Dallas,Studio,9,,,,,,,,,,,,,,875,850,850,897.5,950,795,750,750,750,705,686,697.5,758.5,765.5,875,875,800,730,750,781,852.5,889,857,810,850,889.5,800,802,872,896.5,950,992.5,1000,995,980,950,950,975,980,1085,1058,1060,1018,1096,1100,1050,1063,1050,1050,1111,1080.5,1150,1199,1200,1085,1005,1075,1092,1090,1077,1070,1147,1195,1071,1111,1122,1100,1166,1178,1141,1188,1190,1170,1185,1179.5,1190,1199,1247.5,1255,1265,1279,1300,1382.5,1401.5,1358,1350,1300,1225,1215.5
San Jose,CA,San Jose,Santa Clara,Studio,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.5,2147.5,2120,2115,2195,2144,2219,2315,2395,2370,2340,2365,2365,2302.5,2330,2290,2200,2242.5,2285,2367.5,2055,2197,2120,2132.5,2025,2269,2225,2290,2280,2231.5,2309,2295,2261,2182,2263,2235,2197,2200,2184,2230,2296,2350,2424.5,2397.5
