RegionName,Data,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antioch,Median Price per SQFT,109,102,106,144,165,179,199,223,248
Berkeley,Median Price per SQFT,439,399,404,466,502,556,598,651,705
Fremont,Median Price per SQFT,345,320,332,396,449,518,556,600,658
Hayward,Median Price per SQFT,209,192,198,254,300,334,371,398,431
Milpitas,Median Price per SQFT,314,307,312,383,426,477,525,548,631
Oakland,Median Price per SQFT,0,0,0,321,329,369,414,465,493
Palo Alto,Median Price per SQFT,0,0,0,0,1069,1264,1350,1417,1562
Pittsburg,Median Price per SQFT,0,0,0,177,190,205,229,252,277
San Francisco,Median Price per SQFT,596,560,596,705,771,850,935,995,1049
San Jose,Median Price per SQFT,318,298,312,383,422,463,506,541,628
Sunnyvale,Median Price per SQFT,404,413,421,493,559,676,739,801,958
Union City,Median Price per SQFT,256,243,246,305,354,394,423,461,521
