Type,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1695.0,1650.0,1590.0,1600.0,1650.0,1589.0,1635.0,1550.0,1783.0,1743.5,1787.5,1732.0,1776.0,2011.0,1995.0,1974.0,1962.0,2057.0,2038.0,2066.5,2223.0,2196.0,2310.0,2315.0,2300.0,2319.0,2335.0,2340.0,2340.0,2427.5,2450.5,2500.0,2581.0,2620.0,2555.0,2530.0,2533.5,2529.0,2550.0,2545.0,2532.0,2470.0,2440.0,2440.0,2497.0,2388.5,2405.0,2327.0,2316.5,2338.0,2435.0,2438.0,2450.0,2479.0,2491.0,2506.0,2490.0,2459.0,2460.0,2403.0,2400.0,2418.0,2400.0,2424.5,2440.5,2467.0,2496.0,2558.0,2597.0
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.0,1997.0,2025.0,2150.0,2100.0,2400.0,2575.0,2772.5,2680.0,2700.0,2485.0,2605.0,2688.5,2700.0,2650.0,2700.0,2780.0,2790.0,2665.0,2715.0,2750.0,2774.0,2800.0,2800.0,2790.0,2800.0,2846.0,3000.0,2990.0,2985.0,2964.5,2930.0,2900.0,2995.0,3045.0,3100.0,3000.0,2995.0,3050.0,3250.0,3295.0,3292.0,3320.5,3350.0,3379.5,3380.0,3410.5,3497.0,3500.0,3500.0,3500.0,3500.0,3595.0,3495.0,3559.0,3532.5,3500.0,3495.0,3402.5,3628.5,3631.5,3600.0,3595.0,3601.0,3520.0,3450.0,3311.5,3300.0,3221.5,3223.5,3100.0,3230.0,3295.0,3295.0,3300.0,3369.5,3400.0,3400.0,3375.0,3308.5,3295.0,3345.0,3300.0,3300.0,3395.0,3400.0,3403.0,3434.0,3459.5,3475.0
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.5,2000.0,1950.0,2183.5,2285.0,2200.0,2195.0,2275.0,2300.0,2297.5,2300.0,2195.0,2295.0,2250.0,2285.0,2295.0,2300.0,2454.5,2200.0,2200.0,2000.0,2077.5,2100.0,2125.0,2143.0,2150.0,2100.0,2200.0,2195.0,2250.0,2250.0,2200.0,2200.0,2195.0,2200.0,2200.0,2290.0,2295.0,2200.0,2200.0
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,1354.0,1375.0,1380.0,1440.0,1332.5,1400.0,1412.5,1532.0,1553.0,1585.0,1493.5,1610.0,1671.0,1585.0,1563.0,1563.0,1575.0,1737.0,1637.5,1695.0,1700.0,1719.0,1700.0,1679.0,1835.0,1846.0,1905.0,1900.0,1985.0,1902.0,1945.0,1935.0,1917.0,1928.5,1850.0,2004.5,2016.0,2179.0,2162.5,2198.0,2163.5,2211.0,2199.0,2127.0,2185.0,2143.0,2200.0,2211.0,2216.0,2182.5,2245.0,2260.0,2278.0,2123.0,2176.0,2111.0,2102.0,2144.0,2124.0,2095.0,2137.0,2183.5,2299.0,2245.0,2249.0,2234.0,2203.0,2193.0,2190.0,2173.0,2197.0,2202.0,2270.0,2335.5,2355.0,2355.5,2355.0
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.0,1895.0,1891.5,1895.0,1918.0,1930.0,1842.5,1830.0,1847.5,1840.0,1895.0,1901.0,1895.0,1895.0,1903.0,1885.0,1880.0,1895.0,1895.0
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.0,1900.0,1850.0,1842.0,1765.0,1765.0,1765.0,1765.0,1793.0,1805.0,1957.0,1926.0,2000.0,1997.5,1870.0,1920.0,1952.0,2000.0,2044.0,2042.0,2000.0,2160.0,2175.0,2189.0,2298.0,2350.0,2273.0,2273.0,2234.0,2355.0,2382.0,2405.0,2470.0,2350.0,2435.0,2451.0,2502.0,2541.0,2512.0,2426.0,2474.0,2495.0,2581.5,2601.5,2607.5,2601.5,2557.0,2650.0,2708.0,2421.0,2522.0,2400.0,2327.5,2442.5,2670.0,2583.0,2612.0,2619.0,2586.0,2614.0,2755.0,2755.0,2685.5,2673.5,2550.0,2645.0,2575.0,2585.0,2595.0,2610.0,2485.0,2600.0,2572.0
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421.0,2195.0,2395.0,2175.0,2224.0,2500.0,2595.0,2595.0,2717.0,2578.0,2675.0,2785.0,2614.0,2595.0,2492.5,2495.0,2415.5,2550.0,2595.0,2595.0,2740.0,2610.0,2495.0
1-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2755.0,2495.0,2615.0,2585.0,2500.0,2725.0,2595.0,2595.0,2620.0,2620.0,2620.0,2625.0,2570.0,2595.0,2645.0,2537.5,2730.0,2700.0,2700.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947.5,1935.0,1995.0,2000.0,1895.0,1965.0,1912.5,2125.0,2159.5,2254.0,2100.0,2165.0,2395.0,2390.0,2350.0,2374.0,2438.0,2500.0,2550.0,2695.0,2565.0,2695.0,2715.0,2720.0,2735.0,2760.0,2800.0,2828.0,2855.5,2919.0,2950.0,2994.5,3000.0,3077.0,3003.0,2985.5,2981.5,2975.0,2968.0,2968.0,2945.0,2950.0,2895.0,2862.0,2847.5,2900.0,2755.0,2755.0,2695.0,2786.0,2829.0,2896.0,2917.5,2880.0,2895.0,2903.0,2874.0,2831.0,2810.0,2818.0,2850.0,2800.0,2848.5,2849.0,2922.5,3000.0,3026.0,3060.0
2-Bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,3200.0,3400.0,3350.0,2987.5,2850.0,2800.0,3000.0,2900.0,2900.0,3000.0,3200.0,3600.0,3524.0,3400.0,3275.0,3500.0,3544.0,3684.5,3500.0,3450.0,3750.0,3800.0,3690.0,3880.0,3809.0,3805.0,3892.5,3900.0,3920.0,3995.0,4080.0,4150.0,4203.0,4175.0,4195.0,4200.0,4200.0,4265.0,4200.0,4216.0,4127.0,4147.5,4250.0,4348.5,4400.0,4455.0,4550.0,4600.0,4600.0,4558.0,4700.0,4745.0,4730.0,4610.0,4635.0,4700.0,4760.0,4709.0,4900.0,4795.0,4785.0,4700.0,4694.5,4900.0,4900.0,4800.0,4720.0,4724.0,4600.0,4550.0,4500.0,4500.0,4495.0,4395.0,4350.0,4495.0,4495.0,4400.0,4500.0,4500.0,4475.0,4500.0,4500.0,4375.0,4375.0,4435.0,4387.5,4450.0,4475.0,4500.0,4500.0,4500.0,4500.0,4600.0
