Year,Month,Day,Month,Open,High,Low,Close,Volume
2007,6,1,2007/06,1155.11,1181.96,1125.04,1173.35,0
2007,7,1,2007/07,1183.37,1261.63,1173.76,1173.81,0
2007,8,1,2007/08,1181.46,1203.43,1090.51,1192.91,0
2007,9,1,2007/09,1214.55,1244.28,1168.85,1238.85,0
2007,10,1,2007/10,1254.34,1296.51,1233.02,1282.36,0
2007,11,1,2007/11,1256.98,1276.6,1109.73,1154.61,0
2007,12,1,2007/12,1146.7,1192.76,1118.2,1155.91,0
2008,1,1,2008/01,1133.34,1160.39,935.39,1020.99,0
2008,2,1,2008/02,1034.07,1060.15,966.97,996.39,0
2008,3,1,2008/03,996.5,1029.56,945.53,989.06,0
2008,4,1,2008/04,1004,1116.7,987.23,1098.42,0
2008,5,1,2008/05,1100.52,1192.68,1099.58,1184.08,0
2008,6,1,2008/06,1179.54,1192.92,1043.76,1048.95,0
2008,7,1,2008/07,1037.67,1064.72,963.29,1008.7,0
2008,8,1,2008/08,1008.48,1089.45,986.15,1026.79,0
2008,9,1,2008/09,1044.07,1048.91,820.44,875.9,0
2008,10,1,2008/10,868.03,872.36,593.77,692.99,0
2008,11,1,2008/11,694.34,723.59,516.22,610.19,0
2008,12,1,2008/12,610.19,664.57,550.59,633.5,0
2009,1,1,2009/01,633.74,694.44,585.71,617.81,0
2009,2,1,2009/02,609.24,686.51,581.43,603.55,0
2009,3,1,2009/03,593.2,728.76,566.7,692.71,0
2009,4,1,2009/04,682.6,817.24,679.65,805.86,0
2009,5,1,2009/05,807.92,839.23,757.2,839.23,0
2009,6,1,2009/06,849.55,884.88,806.29,848.27,0
2009,7,1,2009/07,851.78,960.88,799.8,941.69,0
2009,8,1,2009/08,951.47,1000.18,925.1,966.86,0
2009,9,1,2009/09,964.68,1052.08,939.9,1030.18,0
2009,10,1,2009/10,1025.83,1071.09,982.2,993.73,0
2009,11,1,2009/11,993.28,1084.14,984.62,1037.62,0
2009,12,1,2009/12,1048.43,1154.41,1048.43,1137.92,0
2010,1,1,2010/01,1152.61,1161.47,1030,1035.38,0
2010,2,1,2010/02,1041.03,1116.23,1028.3,1102.94,0
2010,3,1,2010/03,1108.32,1195.87,1108.32,1172.63,0
2010,4,1,2010/04,1178.64,1258.07,1163.11,1205.67,0
2010,5,1,2010/05,1211.25,1230.25,1055.99,1125.4,0
2010,6,1,2010/06,1118.27,1184.8,1047.94,1050.12,0
2010,7,1,2010/07,1050.99,1169.72,1028.56,1138.97,0
2010,8,1,2010/08,1151.05,1168.06,1058.07,1063.91,0
2010,9,1,2010/09,1080.83,1235.75,1080.42,1214.53,0
2010,10,1,2010/10,1222.66,1317.92,1188.64,1310.87,0
2010,11,1,2010/11,1319.15,1362.94,1286.82,1315.23,0
2010,12,1,2010/12,1337.95,1400.84,1337.85,1383.95,0
2011,1,1,2011/01,1397.08,1484.39,1387.1,1436.04,0
2011,2,1,2011/02,1450.19,1529.8,1428.22,1480.11,0
2011,3,1,2011/03,1486.37,1498.58,1356.38,1454.46,0
2011,4,1,2011/04,1462.68,1502.34,1405.99,1494.88,0
2011,5,1,2011/05,1500.65,1503.42,1414.07,1472.53,0
2011,6,1,2011/06,1467.72,1473.35,1309.48,1393.83,0
2011,7,1,2011/07,1395.09,1445.03,1318.04,1327.63,0
2011,8,1,2011/08,1344.84,1350.49,1118.52,1240.01,0
